temperature,pressure,wind_speed,wind_direction,Power generated by system | (kW)
0.06,0.991164,7.02,344,16450.9
-0.433,0.991633,8.339,347,28353.8
-0.805,0.991999,7.718,351,22596
0.081,0.992327,6.74,351,14312.2
1.459,0.992344,6.157,346,10721.1
2.925,0.991932,6.209,348,11059
4.258,0.991596,6.386,349,11794.6
5.262,0.991428,6.205,349,10949.9
5.877,0.991219,6.186,349,10807.6
6.17,0.990946,6.269,348,11203.9
5.886,0.990722,6.352,347,11548.1
4.061,0.990731,6.921,347,15530.8
2.603,0.990961,7.898,352,23882.2
1.239,0.991192,7.735,358,22486.1
0.738,0.991435,8.215,3,27056.3
0.912,0.991502,7.959,7,24589.1
1.781,0.991533,6.137,3,10592.5
1.705,0.991347,5.231,355,5497.25
1.598,0.991372,5.583,356,7307.25
1.48,0.991494,6.028,357,9833.71
1.431,0.991624,6.087,359,10246.6
1.399,0.991537,6.294,1,11496.4
1.3,0.991385,5.913,5,9124.46
1.178,0.991418,5.978,12,9507.47
1.076,0.991329,6.12,19,10195.5
0.951,0.991311,5.605,29,7008.55
1.228,0.991295,5.265,34,5503.09
2.406,0.991323,3.846,36,1093.45
3.87,0.991118,3.864,40,1141.54
5.265,0.990661,4.251,43,2039.73
6.302,0.990275,3.923,47,1253.33
7.123,0.989802,3.91,42,1225.64
7.647,0.989375,3.583,40,0
7.859,0.988902,3.376,47,0
7.758,0.988278,3.578,51,0
7.352,0.987915,3.843,49,1074.15
7.042,0.987584,4.88,52,3900
6.841,0.987192,6.003,65,9388.49
6.466,0.986742,5.886,82,8462.02
6.649,0.986381,6.979,102,15494.8
6.536,0.986094,6.613,113,12918.4
6.296,0.98543,6.653,117,13175.2
5.978,0.98495,7.353,117,18875
6.067,0.984604,8.067,120,24804
6.327,0.983737,9.606,124,39720.6
6.484,0.983187,10.214,131,46665.8
6.183,0.983037,8.906,139,33224.7
5.358,0.983024,7.801,139,22473.5
5.189,0.982841,7.861,134,23055.3
5.18,0.982719,8.855,136,32836.6
4.944,0.982122,10.717,136,52035.6
5.017,0.98168,10.321,139,47802.2
5.07,0.982368,4.621,155,2913.5
5.068,0.98172,5.388,148,5832.56
5.494,0.980647,7.539,140,20348.1
6.023,0.980701,5.673,147,7395.8
6.561,0.979898,6.568,138,12540.5
7.137,0.979263,7.738,144,21503.6
7.668,0.978628,8.101,155,23961.8
7.842,0.97865,6.881,164,14662.1
8.157,0.978514,7.698,163,21125.8
7.867,0.978533,6.361,162,11225.2
7.935,0.978755,5.45,169,6264.26
7.994,0.979094,3.478,185,0
8.056,0.979211,2.016,229,0
8.129,0.979144,2.727,257,0
8.121,0.979071,3.364,288,0
8.041,0.979564,5.709,304,7748.7
7.959,0.979917,4.405,301,2398.06
7.627,0.980281,5.135,304,4880.04
6.574,0.980595,6.233,317,10891.5
5.274,0.980912,6.132,334,9749.84
5.723,0.981043,5.006,330,4203.61
5.58,0.981302,5.781,335,7850.5
5.133,0.981735,5.005,344,4391.56
4.91,0.982141,6.024,331,9146.53
5.26,0.982126,5.724,320,7958.12
5.094,0.982366,4.366,317,2346.8
4.626,0.98251,3.952,302,1299.2
4.485,0.982739,4.595,301,2967.05
4.13,0.982906,4.928,307,4097.02
3.824,0.982668,5.05,304,4603.14
3.465,0.982702,5.441,296,6289.07
3.115,0.982764,4.869,309,3905.59
2.902,0.983153,5.195,305,5232.08
2.552,0.983263,5.144,312,5054.18
2.284,0.983586,4.365,315,2369.29
1.788,0.983915,3.102,318,0
0.92,0.984046,2.512,312,0
-0.587,0.983845,4.144,317,1765.06
-0.691,0.983911,5.186,317,5309.2
-0.981,0.984168,5.422,325,6214.1
-1.001,0.98428,5.489,342,6560.99
-0.708,0.984216,6.228,356,11211.9
-0.76,0.984175,5.98,360,9493.19
-0.882,0.984428,5.483,2,6672.75
-0.921,0.984722,4.973,3,4398.91
-0.961,0.984964,4.837,3,3875.26
-0.58,0.985154,4.282,2,2152.42
0.836,0.985293,2.926,359,0
2.281,0.985221,3.235,352,0
3.2,0.984838,2.572,342,0
4.241,0.984404,2.382,322,0
5.129,0.984092,2.385,301,0
5.823,0.983724,2.648,285,0
6.086,0.9834,3.115,261,0
5.653,0.983271,3.623,256,502.238
4.769,0.983339,4.47,266,2460.45
3.873,0.983383,4.28,277,1995.27
3.458,0.983492,4.516,272,2582.02
3.157,0.983662,5.826,281,8373.02
2.773,0.983784,6.654,288,13322.5
2.281,0.983813,6.976,286,15869.2
1.92,0.983493,6.619,285,13046
1.644,0.98334,6.85,290,14918.7
1.243,0.983435,6.778,306,14298.5
0.811,0.983581,5.993,318,9524.24
0.435,0.983591,5.325,313,5868.05
0.136,0.983654,5.17,313,5215.36
-0.032,0.98395,4.697,312,3358.53
-0.157,0.984102,3.652,306,684.646
-0.304,0.984235,2.795,311,0
0.239,0.984528,1.312,300,0
1.484,0.984802,0.669,262,0
3.075,0.985017,1.255,267,0
4.715,0.9849,1.665,271,0
6.241,0.984837,1.732,267,0
7.51,0.984767,2.132,274,0
8.306,0.984607,2.649,282,0
8.865,0.984403,3.065,282,0
8.929,0.984179,3.64,279,619.554
7.883,0.984165,5.108,276,4539.13
7.039,0.984217,6.336,297,11332.7
6.617,0.984368,8.154,332,24669.2
6.068,0.984735,8.009,339,23674.2
5.186,0.984998,8.013,346,24424.1
4.188,0.985096,7.751,351,22297.1
2.775,0.98488,8.493,360,29255.8
1.532,0.984817,8.384,4,28407.1
0.769,0.98498,8.13,4,26045.7
0.342,0.985151,8.097,5,25786.9
-0.519,0.985224,7.44,4,20147
-1.065,0.985279,6.959,5,16099.2
-1.139,0.985568,6.896,5,15570.7
-1.294,0.985714,6.875,5,15402.6
-1.804,0.985996,7,4,16488.5
-0.569,0.986329,6.152,2,10730.1
2.231,0.986768,4.469,357,2666.99
4.161,0.98703,5.606,354,7368.73
5.076,0.986994,6.474,347,12080.8
5.7,0.987015,6.873,339,14451.7
6.276,0.986988,7.322,333,17865.1
6.672,0.986988,7.756,334,21310.8
6.584,0.987033,7.679,338,20906.7
5.973,0.987088,7.643,341,20904.3
4.125,0.987415,8.054,345,24898
1.93,0.987741,8.779,354,32614.3
0.958,0.988114,9.962,358,45096.8
-0.687,0.98854,9.364,5,38602.1
-1.394,0.988896,8.127,7,26368
-1.999,0.988997,7.751,18,22459.3
-2.38,0.989021,6.603,29,12735.8
-2.556,0.989157,6.479,33,12227.6
-2.481,0.98925,6.54,32,12498.7
-2.699,0.989353,5.334,38,5969.98
-2.958,0.989127,5.29,33,5651.92
-3.156,0.988822,4.938,22,4129.45
-3.314,0.988935,2.798,45,0
-3.404,0.988771,2.18,48,0
-3.641,0.988676,1.292,100,0
-2.827,0.98854,1.308,146,0
-0.958,0.988438,0.936,174,0
1.1,0.988077,1.073,193,0
2.99,0.987414,1.35,206,0
4.75,0.986798,1.51,209,0
6.324,0.986199,1.802,215,0
7.596,0.985715,2.472,218,0
8.344,0.985089,2.904,222,0
8.26,0.984451,3.464,214,0
4.901,0.984034,4.323,209,2102.66
2.764,0.983866,6.844,209,14130.6
1.473,0.983695,7.79,208,21891
0.873,0.983546,8.119,210,24899.1
0.306,0.983366,7.764,215,22247.1
-0.106,0.98318,8.194,218,26481.1
-0.327,0.982775,8.724,218,31767.2
-0.399,0.982624,8.465,218,29068.3
-0.303,0.982485,8.71,217,31504.8
-0.203,0.9825,8.847,220,33275
-0.498,0.982358,9.137,220,36350.1
-0.741,0.982135,9.125,221,36293.1
-0.83,0.982029,7.883,222,23713.5
-0.832,0.981902,7.484,220,20384.5
-1.035,0.981669,7.451,222,20152.5
1.118,0.981471,6.806,221,14547.4
4.026,0.981208,4.233,219,1969.69
6.256,0.980753,2.701,214,0
8.665,0.979768,3.206,219,0
10.742,0.979209,4.286,224,2072.51
12.157,0.978696,5.156,235,4876.56
12.914,0.978272,6.055,234,9424.15
13.181,0.97779,6.233,236,10555.4
12.011,0.977495,6.269,234,10769.5
10.319,0.977632,7.424,238,18979.1
9.309,0.977843,8.373,244,27237.9
8.624,0.977803,7.4,246,18953.6
8.391,0.9779,7.888,247,22869.9
